County,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2011-2016 Total,Cude Rate,Age Adjusted Rate
HARDIN,4,2,10,6,6,3,6,6,1,10,1,8,7,33,17.4,19.8
VINTON,2,4,3,4,2,2,1,1,5,2,3,1,2,14,17.7,19.7
ATHENS,3,7,9,13,8,10,6,12,10,8,8,8,6,52,13.3,18.4
WASHINGTON,1,5,9,4,5,8,4,6,7,7,12,8,20,60,16.3,18.4
FRANKLIN,72,102,154,187,179,139,192,209,191,196,196,279,314,1385,18.9,18.3
HOCKING,2,1,1,9,8,4,4,7,4,8,4,3,5,31,17.9,18.3
GEAUGA,3,3,5,2,5,2,7,11,8,11,11,15,24,80,14.2,18.1
WARREN,11,21,17,17,33,34,25,26,32,27,40,42,58,225,17,18
PICKAWAY,3,3,5,5,5,9,9,14,12,10,8,10,6,60,17.6,17.9
CRAWFORD,4,10,9,12,10,7,7,5,5,2,9,10,8,39,15.3,17.8
HARRISON,2,0,0,1,0,1,1,4,0,3,2,4,1,14,15,17.8
FULTON,1,1,1,2,1,2,6,5,9,3,5,6,10,38,14.9,17.4
ALLEN,5,4,6,6,9,5,5,9,14,15,12,18,31,99,15.7,17.3
PORTAGE,9,7,12,8,5,16,14,6,16,22,30,36,46,156,16.1,17.1
MADISON,0,1,2,5,4,5,10,3,7,7,7,7,15,46,17.6,16.7
MORROW,1,3,5,2,2,5,8,5,2,9,6,3,6,31,14.8,16.5
MORGAN,0,1,1,1,0,3,1,1,0,4,4,0,4,13,14.5,16.4
VAN WERT,0,1,4,1,4,1,3,6,1,4,4,1,8,24,14,16.3
LOGAN,5,3,6,6,5,5,6,0,5,9,4,8,14,40,14.7,16.2
DEFIANCE,1,2,1,5,1,2,3,5,3,5,7,7,6,33,14.3,16
STARK,15,16,25,25,30,21,39,40,35,42,59,59,97,332,14.8,16
KNOX,4,3,4,5,7,10,7,9,7,12,8,7,8,51,13.9,15.8
SENECA,1,3,3,2,1,7,0,8,6,7,11,9,5,46,13.7,15
WAYNE,3,6,7,0,11,7,6,13,7,4,13,24,36,97,14,15
OTTAWA,0,2,2,5,2,6,2,4,3,4,3,5,14,33,13.4,14.7
PERRY,2,2,2,4,3,2,4,4,7,0,4,7,6,28,13,14.5
HANCOCK,4,3,1,2,4,8,7,10,5,4,11,13,19,62,13.7,14
MEDINA,3,8,7,8,9,13,7,13,17,14,17,27,41,129,12.3,13.8
LICKING,13,10,13,15,27,20,24,22,13,23,23,29,18,128,12.6,13
CARROLL,1,2,2,1,3,2,3,0,4,2,3,5,3,17,10,12
FAIRFIELD,12,8,7,13,7,17,15,12,19,17,15,16,23,102,11.4,11.9
TUSCARAWAS,0,3,8,1,3,4,7,13,8,11,6,8,14,60,10.8,11.3
WOOD,3,4,10,5,9,14,9,7,10,4,16,22,21,80,10.3,11.1
MERCER,1,1,2,3,1,2,2,4,1,5,5,3,5,23,9.4,10.2
COSHOCTON,2,5,2,2,4,1,2,4,3,4,2,3,4,20,9.1,10.1
HENRY,2,3,1,0,0,0,1,0,2,1,2,6,5,16,9.5,10
AUGLAIZE,0,2,1,2,3,3,3,3,5,3,2,9,4,26,9.4,9.6
WILLIAMS,0,1,1,1,2,2,3,1,1,5,2,1,9,19,8.5,9.2
MUSKINGUM,6,1,6,4,5,4,5,2,7,10,5,13,7,44,8.5,8.9
UNION,3,4,5,1,6,4,10,3,3,3,6,5,7,27,8.4,8.2
PUTNAM,0,0,1,1,2,2,1,0,1,2,3,4,4,14,6.8,7.3
DELAWARE,3,5,7,13,11,12,12,10,16,15,12,12,11,76,6.8,7.2
WYANDOT,0,0,1,1,1,1,2,2,1,1,0,2,4,10,7.4,6.9
ASHLAND,2,3,4,1,1,1,2,4,0,1,3,6,3,17,5.3,5.8
HOLMES,1,0,0,1,0,0,1,1,0,1,0,0,4,6,0,0
MONROE,0,0,1,0,0,2,0,0,1,0,4,1,1,7,0,0
NOBLE,0,0,1,2,2,1,1,0,0,1,0,5,1,7,0,0
PAULDING,0,2,1,0,3,2,2,0,2,0,3,0,0,5,0,0
OHIO TOTAL,904,1020,1261,1351,1473,1423,1544,1772,1914,2110,2531,3050,4050,15427,22,23
